Company,LogoURL,Placed,Departments
Soliton Technologies,,10,""
Mr.Cooper,,2,""
Nbase2,,3,""
Workhall,,1,""
Ignitarium,,7,""
Codemagen,,12,""
Presidio,,3,""
CDW (Sirius),,2,""
Rapiddata Technologies,,11,""
Winfomi,,5,""
Griffyn Robotech -Pune,,1,""
Blubridge Technologies,,5,""
Crescent moon solutions,,6,""
Leumasware,,4,""
Openmynz,,3,""
Tessolve Semiconductors,,2,""
Likan Cleancell Innovations Pvt,Ltd,,1,""
Likan Cleancell Innovations Pvt,Ltd	,,4,""
Pentafox Technologies,,5,""
Securin,,1,""
Rubrik,,2,""
Josh Technologies,,2,""
Valeo India Pvt Ltd,,31,""
Trimble,,12,""
Survey Sparrow,,3,""
JMAN Group,,5,""
AppSentinels,,2,""
Infinox Info-Stark Services Pvt.Ltd,,1,""
Cartrabbit Technologies,,2,""
ZOHO,,12,""
Genworx.AI,,3,""
Reading Chocolate (Sago factory ),,2,""
Data Corp -Ed,,2,""
Adwik Intellimech -Mds,,3,""
Mistral Solutions,,6,""
Calibraint Technologies,,7,""
Logicgo infotech,,1,""
JPMorganChase,,1,""
Schneider Electric,,7,""
Adrasti Technologies Private Limited,,10,""
ERP Roots,,2,""
Brahmarsive,,3,""
J&F India Pvt,Ltd,,6,""
Radiant Global Technology,,6,""
HiTech Calibration,,4,""
Endava Solution,,13,""
SRC Projects,,5,""
Mavenly,,1,""
CIEL Skills and Careers Pvt,Ltd,,1,""
Green Collar Agritech Solutions Pvt Ltd,,1,""
Mallow Technologies,,8,""
CoreEL Technologies,,4,""
Platform Science,,4,""
Kurium.IO,,1,""
Linkra cables,,9,""
Conserve Solutions,,6,""
Careyu Automation,,1,""
Robovision pvt ltd,,1,""
System Controls,,2,""
Addis IT Solutions,,1,""
Caliber InterConnect,,10,""
Toshiba,,1,""
Delta Electronics,,26,""
Xoriant,,7,""
Cognizant,,16,""
Integra Connect,,1,""
JGC,,8,""
Rently,,1,""
SmartDV,,8,""
DCW,,1,""
ITC Food Division,,5,""
RabbitQR,,1,""
Avasoft,,2,""
Tap Academy,,16,""
GecaTech,,4,""
CRP robots,,8,""
Virtusa,,2,""
Lancer International,,1,""
VA Tech Wabag,,25,""
BigBoon Technologies,,10,""
Netgear,,3,""
Cognizant,,110,""
Deloitte,,5,""
SPIC,,9,""
Brakes India,,4,""
Synapse Robotics,,1,""
Imagitive Technology Pvt.Ltd,,2,""
JSW,,6,""
Bhawan CyberTex,,9,""
Rane,,8,""
Vintorix(Webberax Solutions),,2,""
Infosys(HackwithInfy),,1,""
MithilAI,,4,""
Acmegrade,,1,""
Harmony Environmental Systems Pvt,Ltd,,1,""
Data Pattern,,2,""
Motherson-SMRC,,8,""
Pothigai Power Solutions,,4,""
Emerson,,1,""
Real Tech System,,1,""
Vaap Energy Private Limited,,1,""
SLB,,8,""
Sid's Farm,,1,""
LG Balakrishnan,,56,""
Accenture,,123,""
Ramalingan Construction,,6,""
NIMIR construction,,1,""
Srinsoft,,4,""
Aypols,,2,""
Sri Venkatachalapathy Construction Private Limited,,3,""
Timbertruss Design Private Limited,,7,""
Amul,,1,""
Data Pattern - ELE,,3,""
IBM,,2,""
Manis Powertech Engineer,,1,""
Propel Industries,,5,""
Pinnacle Infotech,,9,""
HCL Tech - Mech,,3,""
Southern Automation,,15,""
Kriya Tech,,1,""
Sakthi Auto Components Ltd,,5,""
Om Sai Index,,5,""
TAC, Tuticorin,,6,""
Craftsman  Automation  Limited,,2,""
Edspark,,2,""
Greenvision Technologies,,5,""
Mavenly Edutech Pvt,Ltd,,1,""
One Assist Technologies,,1,""
Krishna Power Technologies,,1,""
Niral Automation,,4,""
Anto Global,,3,""
Agnitio Systems,,2,""
Restaurantware,,5,""
NSK Bearings,,1,""
Base Automation,,14,""
Pallavaa Group - TGT Role,,4,""
Kaar Technologies,,2,""
VisAI Labs,,1,""
Trellisys,,4,""
Kently,,1,""
Codingmart,,1,""
WTT International Pvt, Ltd,,5,""
Ramco Cements Ltd,,1,""
General Electric (GE) Vernova,,3,""
Applied Materials,,7,""
Anthem BioScience,,1,""
DCW - Chem,,6,""
Rinex,,2,""
Real tech Systems,,3,""
Qspiders,,1,""
Zuci Systems,,6,""
Infosys,,8,""
Innosynth,,2,""
H&MV Engineering,,8,""
HCL Tech,,9,""
Unilogic Technologies,,3,""
Titan Engineering And Automation Limited,,4,""
Algomox Private Limited,,1,""
WEG Industries,,3,""
Besant Technologies,,35,""
KT Telematics,,5,""
Vtiger,,1,""
Yokogawa,,9,""
Gradtwin,,2,""
Harvee Designs,,1,""
KYB,,5,""
Kavin Engineering And Services Pvt,Ltd,,4,""
Reliance Industries,,8,""
Aquasub,,1,""
McWane,,1,""
Fanuc,,2,""
Janatics,,1,""
ARI,,1,""
Krisam Automation,,3,""
PMEL Pvt. Ltd,,3,""
KUKA India Pvt Ltd,,1,""
NAMIC Industrial Solution,,2,""
Barry wehmiller	,,2,""
Freezeton,,2,""
Likan,,1,""
Sahuwala Flour Mills,,4,""
Grenera Nutrents pvt Ltd,,1,""
PRIMAS Bioscience,,1,""
April3rdfoods,,1,""
Madhu Jayanthi International,,1,""
Angel Starch&Food Pvt Ltd,,1,""
SKM Egg products,,1,""
Vintage agro,,2,""
Sketch Brahma,,2,""
Zettaone Technologies,,1,""
Bull Machine,,3,""
Jain Resource Recycling,,7,""
GEA BGR & Group,,12,""
Kanchi Karpooram Limited,,3,""
Flow Control Commune Pvt Ltd,,1,""
Greenmile Consultancy Services Pvt Ltd,,6,""
L.G.Balakrishnan & Bros. Limited,,2,""
Lakshmi Electrical Control Systems Ltd,,13,""
Nexont,,5,""
Subheksha Con,,1,""
Janaki Construction,,1,""
HR Construction,,1,""
TCS - Codevita,,2,""
Silex Technologies,,1,""
Britannia RFID,,2,""
HungerBox,,3,""
Sublime Structures,,1,""
Delphi TVS,,5,""
Capgemini,,5,""
Kitron India Services Pvt,Ltd,,2,""
RobotAI Technologies,,1,""
i6 Tech Labs,,1,""
IamNeo,,4,""
JSE,,1,""
Enthu Technology,,2,""
Jindal Steel,,2,""
Accura Deldrods	,,1,""
SiMaxTech,,10,""
TVS Sri Chakra,,1,""